Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
+,1894103144977895427,217543151,WHOSTP47,SenatorTimScott,Government,831762,2025-03-26 16:33:12,2025-03-26 16:17:34
+,121147627,1893005720548712449,russvought,WHOMB,Government,3976,2025-03-26 16:32:43,2025-03-26 16:17:06
+,44196397,1813545855028277248,elonmusk,SteveWitkoff,Premium,58402,2025-03-26 16:32:39,2025-03-26 16:17:01
+,1137701,1904142400554995714,DavidSacks,mkratsios47,Government,1822,2025-03-26 16:32:33,2025-03-26 16:16:56
+,1900607381358387200,1813545855028277248,LizHuston47,SteveWitkoff,Premium,58402,2025-03-26 16:17:35,2025-03-26 09:22:11
+,1900607381358387200,1882089668306427904,LizHuston47,MikeWaltz47,Government,66995,2025-03-26 16:17:35,2025-03-26 09:22:11
+,1892594777075417088,1098615836,FBIDirectorKash,BrookeSingman,Premium,45450,2025-03-26 16:17:33,2025-03-26 09:22:08
+,1883691197832572928,984517807076446208,statedeptspox,StateDeputySpox,Government,40054,2025-03-26 16:17:25,2025-03-26 09:21:57
+,1881478226884853760,1882089668306427904,Kaelan47,MikeWaltz47,Government,66995,2025-03-26 16:17:23,2025-03-26 09:21:55
+,1881453001656709120,1813545855028277248,AnnaKelly47,SteveWitkoff,Premium,58402,2025-03-26 16:17:22,2025-03-26 09:21:54
+,1881454601041244161,1882089668306427904,HFields47,MikeWaltz47,Government,66995,2025-03-26 16:17:22,2025-03-26 09:21:54
+,1879670389057474560,1813545855028277248,PressSec,SteveWitkoff,Premium,58402,2025-03-26 16:17:21,2025-03-26 09:21:53
+,1201670995435646976,3030814395,laurenboebert,VoteRandyFine,Premium,22009,2025-03-26 16:17:16,2025-03-26 09:21:22
+,1201670995435646976,1658862104378572802,laurenboebert,BenShapiroShow,Premium,86513,2025-03-26 16:17:16,2025-03-26 09:21:22
+,880412538625810432,1813545855028277248,BillAckman,SteveWitkoff,Premium,58402,2025-03-26 16:17:15,2025-03-26 09:21:15
+,826065164504006657,987848580,mtgreenee,Schneider_DC,Premium,8977,2025-03-26 16:17:14,2025-03-26 09:21:13
-,2352629311,897263688306102272,HawleyMO,rajaryal07,Premium,2028,2025-03-26 16:17:11,2025-03-26 09:21:02
-,66369181,1306566696057163777,DeptofDefense,TRADOCCSM,,5597,2025-03-26 16:17:03,2025-03-26 09:20:39
-,47253057,1604620153022455808,RogerJStoneJr,Cumala_Sux1,Premium,17866,2025-03-26 16:17:02,2025-03-26 09:20:36
+,47253057,1773498462526423040,RogerJStoneJr,deciphernews0,,524,2025-03-26 16:17:02,2025-03-26 09:20:36
+,26637348,1881450170065260544,TulsiGabbard,Taylor47,Government,27746,2025-03-26 16:17:00,2025-03-26 09:20:33
+,1500867239674843143,855947347947335680,JeffClarkUS,conan_esq,,32407,2025-03-26 09:21:32,2025-03-26 05:22:57
