Twitter ID,Screen name,Verification,Followers
1894822897257943040,SLOTUS,Government,56777
1881456627708280832,StephenMiller47,Government,20210
1879670389057474560,PressSec,Government,1040170
1881449011368095744,StevenCheung47,Government,80174
1881447582213550080,Scavino47,Government,248437
1494472017176846341,USAmemorabilia,,5151
1074480192,SenTedCruz,Government,4060985
1886776365673803776,SecRollins,Government,111175
17629860,FBI,Government,3762807
1883853671148167168,SecDuffy,Government,336255
1883283813276770304,Sec_Noem,Government,545074
1878717459148230656,davidsacks47,Government,229354
1883257372740591616,SecDef,Government,547764
1886875846473879552,SecKennedy,Government,887738
1881451105454002176,RapidResponse47,Government,838180
208155240,MariaBartiromo,Premium,1509481
1367531,FoxNews,Premium,25893973
21320088,MarcBeckman,Premium,7185
844732519966801921,karolineleavitt,Government,833962
108471631,MELANIATRUMP,Government,3833658
44196397,elonmusk,Premium,219652476
1879644163769335808,WhiteHouse,Government,1340071
1879650942410481666,POTUS,Government,2961759
1879652428490149888,VP,Government,888502
